class_id,class_name,correct,total,accuracy
0,apple,99,100,0.990000
1,aquarium_fish,98,100,0.980000
2,baby,91,100,0.910000
3,bear,98,100,0.980000
4,beaver,91,100,0.910000
5,bed,97,100,0.970000
6,bee,100,100,1.000000
7,beetle,95,100,0.950000
8,bicycle,96,100,0.960000
9,bottle,98,100,0.980000
10,bowl,81,100,0.810000
11,boy,71,100,0.710000
12,bridge,96,100,0.960000
13,bus,95,100,0.950000
14,butterfly,96,100,0.960000
15,camel,96,100,0.960000
16,can,93,100,0.930000
17,castle,94,100,0.940000
18,caterpillar,95,100,0.950000
19,cattle,95,100,0.950000
20,chair,96,100,0.960000
21,chimpanzee,98,100,0.980000
22,clock,98,100,0.980000
23,cloud,83,100,0.830000
24,cockroach,96,100,0.960000
25,couch,91,100,0.910000
26,crab,91,100,0.910000
27,crocodile,95,100,0.950000
28,cup,90,100,0.900000
29,dinosaur,94,100,0.940000
30,dolphin,93,100,0.930000
31,elephant,96,100,0.960000
32,flatfish,91,100,0.910000
33,forest,82,100,0.820000
34,fox,97,100,0.970000
35,girl,79,100,0.790000
36,hamster,99,100,0.990000
37,house,92,100,0.920000
38,kangaroo,93,100,0.930000
39,keyboard,98,100,0.980000
40,lamp,95,100,0.950000
41,lawn_mower,99,100,0.990000
42,leopard,91,100,0.910000
43,lion,97,100,0.970000
44,lizard,98,100,0.980000
45,lobster,92,100,0.920000
46,man,87,100,0.870000
47,maple_tree,74,100,0.740000
48,motorcycle,98,100,0.980000
49,mountain,95,100,0.950000
50,mouse,89,100,0.890000
51,mushroom,97,100,0.970000
52,oak_tree,79,100,0.790000
53,orange,100,100,1.000000
54,orchid,98,100,0.980000
55,otter,88,100,0.880000
56,palm_tree,97,100,0.970000
57,pear,93,100,0.930000
58,pickup_truck,100,100,1.000000
59,pine_tree,83,100,0.830000
60,plain,93,100,0.930000
61,plate,92,100,0.920000
62,poppy,93,100,0.930000
63,porcupine,92,100,0.920000
64,possum,80,100,0.800000
65,rabbit,94,100,0.940000
66,raccoon,96,100,0.960000
67,ray,97,100,0.970000
68,road,97,100,0.970000
69,rocket,95,100,0.950000
70,rose,96,100,0.960000
71,sea,94,100,0.940000
72,seal,84,100,0.840000
73,shark,92,100,0.920000
74,shrew,83,100,0.830000
75,skunk,99,100,0.990000
76,skyscraper,96,100,0.960000
77,snail,98,100,0.980000
78,snake,91,100,0.910000
79,spider,96,100,0.960000
80,squirrel,97,100,0.970000
81,streetcar,95,100,0.950000
82,sunflower,99,100,0.990000
83,sweet_pepper,96,100,0.960000
84,table,92,100,0.920000
85,tank,99,100,0.990000
86,telephone,97,100,0.970000
87,television,97,100,0.970000
88,tiger,98,100,0.980000
89,tractor,100,100,1.000000
90,train,94,100,0.940000
91,trout,98,100,0.980000
92,tulip,85,100,0.850000
93,turtle,97,100,0.970000
94,wardrobe,98,100,0.980000
95,whale,89,100,0.890000
96,willow_tree,72,100,0.720000
97,wolf,98,100,0.980000
98,woman,83,100,0.830000
99,worm,95,100,0.950000
